Region,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,1749.5,1728.7,1660.7,...,1388.1,1325.2,1291.6,1220.7,1186.1,1196.5,1183.4,1203.7,1248.1,1272.3,1359.2,1459.8,1557.3,1621.8,1665.8,1733.1,1836.9,1963.3,2003.2,2006.2,1983.6,1942.8,1929.4,1955.3,1957.3,1980.4,2038.9,2124.5,2200.4,2222.6,2294.5,2447.4,2676.5
Africa,20.9,21.2,21.1,18.3,16.8,19.3,26.1,15.9,15.1,16.1,18.0,25.7,24.9,24.0,27.8,24.3,30.0,29.7,31.7,33.7,39.6,40.1,41.3,45.2,44.8,47.7,49.4,46.5,44.6,44.0,40.6,41.1,42.3,44.4,42.5,50.2,51.7
North Africa,3.4,3.6,3.6,3.7,4.2,4.4,4.8,4.6,4.9,5.3,5.6,4.9,5.5,6.6,6.7,7.0,7.6,7.9,7.9,8.5,10.1,11.1,12.1,15.2,16.3,18.5,19.8,20.0,19.8,19.0,18.3,19.2,19.9,19.0,18.3,26.2,28.5
sub-Saharan Africa,17.4,17.6,17.5,14.6,12.6,14.9,21.3,11.3,10.2,10.8,12.4,20.8,19.4,17.4,21.1,17.4,22.4,21.8,23.8,25.1,29.6,28.9,29.2,29.9,28.5,29.2,29.6,26.6,24.7,25.1,22.4,21.9,22.5,25.5,24.2,23.9,23.2
Americas,862.5,853.5,815.1,721.2,755.5,722.2,690.6,652.9,617.3,610.3,599.2,599.1,620.3,628.6,698.3,784.2,851.5,891.4,905.8,933.9,1002.0,1079.9,1110.0,1098.0,1042.2,969.3,915.9,898.8,895.2,893.4,919.6,966.4,1010.6,999.1,987.1,1009.6,1068.4
Central America and the Caribbean,5.2,5.3,4.9,4.7,5.2,5.3,6.1,5.3,5.4,5.4,5.5,5.8,5.9,6.1,5.8,5.7,5.4,5.5,5.3,6.7,6.8,7.9,7.6,8.2,8.7,9.3,9.6,9.2,10.2,9.6,10.5,11.6,14.2,13.9,14.8,14.8,19.5
North America,817.8,810.9,778.0,688.1,723.9,686.1,651.1,608.3,574.8,570.7,558.6,560.6,581.4,586.4,656.6,745.5,811.7,849.0,861.8,886.0,950.5,1024.6,1051.1,1039.6,982.0,906.5,852.1,835.9,833.7,829.8,853.9,900.6,942.7,932.7,921.7,943.2,997.4
South America,39.6,37.3,32.2,28.4,26.4,30.9,33.4,39.4,37.1,34.2,35.0,32.7,33.0,36.1,35.9,33.0,34.4,36.9,38.7,41.2,44.6,47.4,51.2,50.2,51.4,53.6,54.2,53.7,51.2,54.1,55.3,54.2,53.6,52.5,50.6,51.5,51.5
Asia & Oceania,133.2,140.2,146.7,149.2,156.1,159.7,160.8,165.7,170.0,176.3,176.8,186.5,191.9,203.0,213.0,222.2,236.1,248.1,262.5,278.5,296.1,334.4,343.0,355.1,371.6,388.4,409.3,434.3,455.8,476.5,495.2,520.0,538.3,554.1,566.7,595.0,632.2
Oceania,15.7,15.6,15.8,15.9,16.2,16.7,16.9,16.4,16.3,16.5,17.2,17.9,17.9,18.4,19.0,19.3,19.9,20.5,21.7,23.0,23.6,25.4,25.7,25.3,24.4,24.2,26.1,28.6,31.3,31.4,30.9,32.3,33.8,35.6,35.9,35.6,36.1
South Asia,25.7,26.8,26.8,25.9,25.5,28.1,28.3,29.6,30.0,32.1,33.3,37.5,38.9,40.1,40.1,41.1,46.8,49.4,50.1,51.1,56.4,65.3,66.2,67.2,67.2,67.6,71.2,72.8,79.2,84.7,88.4,94.0,94.3,94.2,96.0,96.6,97.5
East Asia,76.3,80.9,85.5,88.6,95.2,95.3,94.7,96.9,99.9,102.5,103.6,108.8,113.0,122.0,129.9,135.3,142.6,150.8,162.3,172.3,183.0,208.8,214.8,225.7,241.2,254.3,269.7,286.8,298.8,312.4,329.1,345.8,360.0,372.9,382.8,409.3,441.2
South East Asia,15.0,16.3,18.0,18.2,18.6,19.0,20.6,22.3,23.4,24.8,22.4,22.0,21.7,22.0,23.3,25.7,26.0,26.3,27.2,30.5,31.5,33.4,34.7,35.0,36.6,40.0,39.9,43.6,44.3,46.0,44.5,45.2,47.8,49.0,50.1,51.6,55.4
Central Asia,0.5,0.6,0.6,0.6,0.6,0.7,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.7,0.8,1.0,1.1,1.6,1.6,1.5,1.7,1.8,2.1,2.3,2.4,2.4,2.1,2.1,2.2,2.8,2.4,2.4,1.9,1.9,1.8
Europe,660.1,646.3,582.8,...,375.3,344.4,337.9,313.5,310.9,314.0,303.8,309.3,319.1,321.9,329.5,337.0,341.3,345.5,351.1,360.5,370.2,375.5,368.0,361.6,364.8,358.6,362.2,371.5,383.1,375.6,384.8,405.1,427.4,441.2,505.0,581.5,680.7
Central Europe,71.1,76.5,50.4,36.0,33.4,22.1,22.9,23.6,23.2,23.9,23.0,22.4,22.6,23.4,24.2,24.7,24.7,25.8,26.2,27.8,26.7,25.6,24.7,24.1,23.7,23.5,25.0,28.2,28.8,31.2,35.0,39.7,42.5,44.1,45.3,55.7,70.4
Eastern Europe,282.7,262.1,221.8,...,49.0,43.0,42.0,28.5,26.9,29.7,18.4,20.1,26.6,28.3,31.3,33.1,34.8,40.0,45.2,50.3,54.9,56.1,57.0,61.4,70.5,73.8,79.1,85.2,89.8,74.4,73.4,77.4,80.2,81.4,136.0,181.2,224.9
Western Europe,306.3,307.7,310.6,305.0,292.9,279.2,273.0,261.5,260.8,260.4,262.3,266.9,269.8,270.2,274.0,279.1,281.8,279.7,279.6,282.4,288.6,293.8,286.3,276.1,270.6,261.3,258.0,258.0,264.4,270.0,276.4,288.0,304.7,315.7,323.7,344.6,385.4
Middle East,72.8,67.4,95.0,107.1,84.4,79.6,76.1,72.7,72.9,79.8,85.6,83.1,91.9,94.7,90.6,92.1,98.4,107.1,114.7,126.6,129.0,133.4,140.9,146.4,160.2,178.8,192.6,204.1,178.7,190.9,198.7,191.8,181.7,183.8,193.3,211.2,243.5
